App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
HollowKnight,ParticleMenuControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\controller\menu\ParticleMenuControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\menu\ParticleMenuController.java,src\test\java\pt\feup\tvvs\soulknight\controller\menu\ParticleMenuControllerWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\controller\menu\ParticleMenuController.java,2,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
HollowKnight,SettingsMenuControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\controller\menu\SettingsMenuControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\menu\SettingsMenuController.java,src\test\java\pt\feup\tvvs\soulknight\controller\menu\SettingsMenuControllerWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\controller\menu\SettingsMenuController.java,6,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
HollowKnight,CreditsControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\controller\credits\CreditsControllerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\credits\CreditsController.java,src\test\java\pt\feup\tvvs\soulknight\controller\credits\CreditsControllerWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\controller\credits\CreditsController.java,3,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
HollowKnight,GameTextViewerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\view\text\GameTextViewerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\view\text\GameTextViewer.java,src\test\java\pt\feup\tvvs\soulknight\view\text\GameTextViewerMutationTests.java,src\main\java\pt\feup\tvvs\soulknight\view\text\GameTextViewer.java,34,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false
HollowKnight,CreditsViewerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\view\states\CreditsViewerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\view\states\CreditsViewer.java,src\test\java\pt\feup\tvvs\soulknight\view\states\CreditsViewerWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\view\states\CreditsViewer.java,2,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
HollowKnight,CreditsViewerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\view\states\CreditsViewerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\view\states\CreditsViewer.java,src\test\java\pt\feup\tvvs\soulknight\view\states\CreditsViewerMutationTests.java,src\main\java\pt\feup\tvvs\soulknight\view\states\CreditsViewer.java,23,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
HollowKnight,GameViewerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\view\states\GameViewerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\view\states\GameViewer.java,src\test\java\pt\feup\tvvs\soulknight\view\states\GameViewerWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\view\states\GameViewer.java,6,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
HollowKnight,GameViewerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\view\states\GameViewerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\view\states\GameViewer.java,src\test\java\pt\feup\tvvs\soulknight\view\states\GameViewerMutationTests.java,src\main\java\pt\feup\tvvs\soulknight\view\states\GameViewer.java,30,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
HollowKnight,MenuViewerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\view\states\MenuViewerWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\view\states\MenuViewer.java,src\test\java\pt\feup\tvvs\soulknight\view\states\MenuViewerWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\view\states\MenuViewer.java,9,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
HollowKnight,MenuViewerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\view\states\MenuViewerMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\view\states\MenuViewer.java,src\test\java\pt\feup\tvvs\soulknight\view\states\MenuViewerMutationTests.java,src\main\java\pt\feup\tvvs\soulknight\view\states\MenuViewer.java,20,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
